Timestamp,Model,Batch_Size,First_ID,Last_ID,Reason
2026-05-30 10:24:05,Ministral-3B,3,row_141,row_143,Failed after max retries
2026-05-30 10:24:20,grok-3,3,row_141,row_143,Failed after max retries
2026-05-30 10:25:50,grok-3,3,row_147,row_149,Failed after max retries
2026-05-30 10:28:20,gpt-4o,3,row_150,row_152,Failed after max retries
2026-05-30 10:30:56,gpt-4.1,3,row_150,row_152,Failed after max retries
2026-05-30 11:03:49,Ministral-3B,3,row_141,row_143,Failed after max retries
2026-05-30 11:04:04,grok-3,3,row_141,row_143,Failed after max retries
2026-05-30 11:04:20,grok-3,3,row_147,row_149,Failed after max retries
2026-05-30 11:07:29,grok-3,3,row_162,row_164,Failed after max retries
2026-05-30 11:11:24,grok-3,3,row_180,row_182,Failed after max retries
2026-05-30 11:12:53,grok-3,3,row_186,row_188,Failed after max retries
2026-05-30 11:16:49,grok-3,3,row_204,row_206,Failed after max retries
2026-05-30 11:17:04,grok-3-mini,3,row_204,row_206,Failed after max retries
2026-05-30 11:17:26,gpt-4o,3,row_207,row_209,Failed after max retries
2026-05-30 11:17:53,gpt-4o-mini,3,row_207,row_209,Failed after max retries
2026-05-30 11:18:37,Llama-3.3-70B-Instruct,3,row_207,row_209,Failed after max retries
2026-05-30 11:19:19,Ministral-3B,3,row_207,row_209,Failed after max retries
2026-05-30 11:19:34,grok-3-mini,3,row_207,row_209,Failed after max retries
2026-05-30 11:20:26,grok-3-mini,3,row_210,row_212,Failed after max retries
2026-05-30 11:21:19,grok-3,3,row_213,row_215,Failed after max retries
2026-05-30 11:21:34,grok-3-mini,3,row_213,row_215,Failed after max retries
2026-05-30 11:22:27,grok-3,3,row_216,row_218,Failed after max retries
2026-05-30 11:22:42,grok-3-mini,3,row_216,row_218,Failed after max retries
2026-05-30 11:23:34,grok-3,3,row_219,row_221,Failed after max retries
2026-05-30 11:23:49,grok-3-mini,3,row_219,row_221,Failed after max retries
2026-05-30 11:24:40,grok-3,3,row_222,row_224,Failed after max retries
2026-05-30 11:24:55,grok-3-mini,3,row_222,row_224,Failed after max retries
2026-05-30 11:25:47,grok-3,3,row_225,row_227,Failed after max retries
2026-05-30 11:26:02,grok-3-mini,3,row_225,row_227,Failed after max retries
2026-05-30 11:26:56,grok-3,3,row_228,row_230,Failed after max retries
2026-05-30 11:27:11,grok-3-mini,3,row_228,row_230,Failed after max retries
2026-05-30 11:28:02,grok-3,3,row_231,row_233,Failed after max retries
2026-05-30 11:28:17,grok-3-mini,3,row_231,row_233,Failed after max retries
2026-05-30 11:29:09,grok-3,3,row_234,row_236,Failed after max retries
2026-05-30 11:29:24,grok-3-mini,3,row_234,row_236,Failed after max retries
2026-05-30 11:30:16,grok-3,3,row_237,row_239,Failed after max retries
2026-05-30 11:30:31,grok-3-mini,3,row_237,row_239,Failed after max retries
2026-05-30 11:31:23,grok-3,3,row_240,row_242,Failed after max retries
2026-05-30 11:31:38,grok-3-mini,3,row_240,row_242,Failed after max retries
2026-05-30 11:32:30,grok-3,3,row_243,row_245,Failed after max retries
2026-05-30 11:32:45,grok-3-mini,3,row_243,row_245,Failed after max retries
